title,year,duration,genre,rating,synopsis,directors,stars
Speak No Evil,2022,97,"Drama, Horror, Thriller",6.6,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.,Christian Tafdrup,"Morten Burian,Sidsel Siem Koch,Fedja van Huêt,Karina Smulders"
Little Demon,2022,26,"Animation, Comedy, Horror",6.9,"After being impregnated by the Devil, a reluctant mother and her Antichrist daughter attempt to live an ordinary life in Delaware.","Aubrey Plaza,Lucy DeVito,Danny DeVito,Seth Kirschner",
Deep Water,2022,115,"Drama, Mystery, Thriller",5.4,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.,Adrian Lyne,"Ben Affleck,Ana de Armas,Tracy Letts,Grace Jenkins"
The Serpent Queen,2022,52,Drama,7.7,"Eight-part series based on Leonie Frieda's book ""Catherine de Medici: Renaissance Queen of France.""","Samantha Morton,Amrita Acharia,Enzo Cilenti,Sennia Nanua",
The Summer I Turned Pretty,2022,45,"Drama, Romance",7.4,"A love triangle between one girl and two brothers. A story about first love, first heartbreak, and the magic of that one perfect summer.","Lola Tung,Jackie Chung,Rachel Blanchard,Christopher Briney",
Firestarter,2022,94,"Drama, Horror, Sci-Fi",4.6,A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.,Keith Thomas,"Zac Efron,Ryan Kiera Armstrong,Sydney Lemmon,Michael Greyeyes"
Lou,2022,107,"Action, Crime, Drama",6.1,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.",Anna Foerster,"Allison Janney,Jurnee Smollett,Logan Marshall-Green,Ridley Asha Bateman"
A League of Their Own,2022,60,"Comedy, Drama, Sport",7.5,Comedy series about the WWII All-American professional women's baseball league.,"Abbi Jacobson,Chanté Adams,D'Arcy Carden,Gbemisola Ikumelo",
Marie Antoinette,2022,52,"Biography, Drama, History",7.3,"Follows the famed queen Marie Antoinette, who was the last queen of France before the French Revolution.","Emilia Schüle,Louis Cunningham,Jack Archer,Jasmine Blackborow",
Navalny,2022,98,"Documentary, Biography",7.7,Follows the man who survived an assassination attempt by poisoning with a lethal nerve agent in August 2020. During his months-long recovery he makes shocking discoveries about the attempt on his life and decides to return home.,Daniel Roher,"Alexei Navalny,Yulia Navalnaya,Dasha Navalnaya,Zakhar Navalny"
Turning Red,2022,100,"Animation, Adventure, Comedy",7.0,A 13-year-old girl named Meilin turns into a giant red panda whenever she gets too excited.,Domee Shi,"Rosalie Chiang,Sandra Oh,Ava Morse,Hyein Park"
Litvinenko,2022,47,"Drama, History",7.3,"Determined Detectives work to prove who was responsible for the death of Alexander Litvinenko, in one of the most complex and dangerous investigations in the history of the Metropolitan Police.","Margarita Levieva,Mark Bonnar,Neil Maskell,David Tennant",
Pieces of Her,2022,52,"Crime, Drama, Mystery",6.3,"On her 30th birthday out for lunch with her mother suddenly explodes into violence, an adrift young woman's conception of her mother is forever changed.","Toni Collette,Bella Heathcote,Jessica Barden,Joe Dempsie",
Goodnight Mommy,2022,92,"Crime, Drama, Horror",5.6,Twin brothers arrive at their mother's house and begin to suspect that something isn't right.,Matt Sobel,"Naomi Watts,Cameron Crovetti,Nicholas Crovetti,Peter Hermann"
The Empress,2022,55,"Drama, History, Romance",7.8,"Two young people meet. A fateful encounter - the proverbial love at first sight. He is Emperor Franz Joseph of Austria-Hungary, she is Elisabeth von Wittelsbach, Princess of Bavaria and the sister of the woman Franz is to marry.","Hanna Hilsdorf,Devrim Lingnau,Melika Foroutan,Svenja Jung",
Welcome to Flatch,2022,23,Comedy,6.6,"A documentary film crew follows a group of young adults and their current concerns, in their small town. The crew focus is the daily lives of cousins Kelly and Shrub Mallet and their idiosyncratic surroundings.","Holmes,Sam Straley,Justin Linville,Taylor Ortega",
Candy Land,2022,93,"Horror, Thriller",5.2,"A seemingly naive and devout young woman finds her way in the underground world of truck stop sex workers a.k.a. ""lot lizards.""",John Swab,"Olivia Luccardi,Sam Quartin,Eden Brolin,Owen Campbell"
Blue Jean,2022,97,Drama,7.4,"In 1988, a closeted teacher is pushed to the brink when a new student threatens to expose her sexuality.",Georgia Oakley,"Rosy McEwen,Kerrie Hayes,Lucy Halliday,Lydia Page"
Watcher,2022,91,"Drama, Horror, Thriller",6.3,"A young American woman moves with her husband to Bucharest, and begins to suspect that a stranger who watches her from the apartment building across the street may be a local serial killer decapitating women.",Chloe Okuno,"Maika Monroe,Karl Glusman,Burn Gorman,Tudor Petrut"
The Eminence in Shadow,2022,24,"Animation, Action, Adventure",7.7,"Ever since he was a child, he wanted to become a shadowbroker, a person who operates in the shadows. He trained up his body, doing practically everything possible in the world, until one ...","Seiichiro Yamashita,Kana Hanazawa,Haruka Shiraishi,Inori Minase",
