title,year,duration,genre,rating,synopsis,directors,stars
November,2022,100,"Crime, Drama, Thriller",7.0,5 days into the heart of the French anti-terrorism services during the hunt for suspects after the 13/11/2015 attacks in Paris.,Cédric Jimenez,"Jean Dujardin,Anaïs Demoustier,Sandrine Kiberlain,Jérémie Renier"
Stutz,2022,96,Documentary,7.9,Follow Hill and his therapist as he has candid discussions of mental health and the progressively worsening anxiety attacks related to movie promotion that have turned his dream job into a nightmare.,Jonah Hill,"Jonah Hill,Phil Stutz"
WeCrashed,2022,427,"Biography, Drama",7.3,"The greed-filled rise and inevitable fall of WeWork, one of the world's most valuable startups, and the narcissists whose chaotic love made it all possible.","Jared Leto,Anne Hathaway,Kyle Marvin,Anthony Edwards",
Outer Range,2022,60,"Drama, Mystery, Thriller",7.1,A rancher fighting for his land and family discovers an unfathomable mystery at the edge of Wyoming's wilderness.,"Josh Brolin,Imogen Poots,Lili Taylor,Tom Pelphrey",
The 355,2022,122,"Action, Thriller",5.5,"When a top-secret weapon falls into mercenary hands, a wild-card C.I.A. agent joins forces with three international agents on a mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",Simon Kinberg,"Jessica Chastain,Penélope Cruz,Bingbing Fan,Diane Kruger"
Mindcage,2022,96,"Crime, Drama, Mystery",4.5,"When a copycat strikes, two detectives ask a top serial killer for help.",Mauro Borrelli,"Martin Lawrence,Melissa Roxburgh,John Malkovich,Robert Knepper"
Tales of the Jedi,2022,15,"Animation, Short, Action",8.2,It showcases animated shorts that feature Jedi from the prequel era.,"Corey Burton,Ashley Eckstein,Dee Bradley Baker,Ian McDiarmid",
Jerry and Marge Go Large,2022,96,"Biography, Comedy, Drama",6.9,"Based on the true story about long-married couple Jerry and Marge Selbee, who win the lottery and use the money to revive their small town.",David Frankel,"Bryan Cranston,Annette Bening,Rainn Wilson,Larry Wilmore"
Hatching,2022,91,"Drama, Fantasy, Horror",6.3,"A young gymnast, who tries desperately to please her demanding mother, discovers a strange egg. She hides it and keeps it warm, but when it hatches, what emerges shocks them all.",Hanna Bergholm,"Siiri Solalinna,Sophia Heikkilä,Jani Volanen,Reino Nordin"
Kleo,2022,44,"Action, Crime, Drama",7.5,"After the fall of the Berlin Wall, a former spy killer is set free and embarks on a revenge spree against the people who conspired to betray her.","Jella Haase,Dimitrij Schaad,Vincent Redetzki,Vladimir Burlakov",
My Name Is Vendetta,2022,90,"Action, Crime, Drama",5.5,"After old enemies kill his family, a former mafia enforcer and his feisty daughter flee to Milan, where they hide out while plotting their revenge.",Cosimo Gomez,"Alessandro Gassmann,Ginevra Francesconi,Alessio Praticò,Francesco Villano"
God's Crooked Lines,2022,154,"Drama, Mystery, Thriller",7.0,Follows a woman checking into a psychiatric ward to investigate a homicide.,Oriol Paulo,"Bárbara Lennie,Eduard Fernández,Loreto Mauleón,Javier Beltrán"
Home Team,2022,95,"Comedy, Sport",6.0,New Orleans Saints head coach Sean Payton coaches his son's 6th-grade football team while he is being suspended for the entire 2012 season as a result of his role in the Saints' Bountygate scandal.,"Charles Kinnane,Daniel Kinnane","Kevin James,Taylor Lautner,Rob Schneider,Jackie Sandler"
Roar,2022,30,"Comedy, Drama",5.6,"An insightful, poignant and sometimes hilarious portrait of what it means to be a woman today. Featuring a unique blend of magical realism, familiar domestic, professional scenarios and futuristic worlds.","Alison Brie,Nicole Kidman,Fivel Stewart,Betty Gilpin",
Hold Tight,2022,284,"Crime, Drama, Mystery",6.2,"When a young man goes missing soon after his friend dies, life in a tight-knit, affluent Warsaw suburb slowly unravels, exposing secrets and lies.","Magdalena Boczarska,Leszek Lichota,Grzegorz Damiecki,Bill Rogers",
Catherine Called Birdy,2022,108,Adventure,6.6,A 14 year old girl in medieval England navigates through life and avoiding potential suitors her father has in mind.,Lena Dunham,"Bella Ramsey,Billie Piper,Andrew Scott,Lesley Sharp"
Look Both Ways,2022,110,"Comedy, Drama, Romance",6.3,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.",Wanuri Kahiu,"Lili Reinhart,Danny Ramirez,Aisha Dee,Jaden Tolliver"
Billy the Kid,2022,49,"Adventure, Biography, Drama",7.2,"An epic romantic adventure based on the life of Billy the Kid, from his humble Irish roots and his early days as a cowboy and gunslinger in the American frontier, to his pivotal role in the Lincoln County War and beyond.","Tom Blyth,Daniel Webber,Eileen O'Higgins,Sean Owen Roberts",
The Playlist,2022,300,"Biography, Drama, Music",7.5,How Swedish tech entrepreneur Daniel Ek and business partner Martin Lorentzon revolutionized the music industry through free and legal music streaming when they launched Spotify.,"Christian Hillborg,Edvin Endre,Gizem Erdogan,Severija Janusauskaite",
Something from Tiffany's,2022,87,"Comedy, Family, Romance",6.2,Follows a woman as her life gets upended when an engagement ring that was for someone else leads her to the person she's meant to be with.,Daryl Wein,"Zoey Deutch,Kendrick Sampson,Ray Nicholson,Shay Mitchell"
Incantation,2022,110,"Horror, Mystery",6.2,"Six years ago, Li Ronan was cursed after breaking a religious taboo. Now, she must protect her daughter from the consequences of her actions.",Kevin Ko,"Hsuan-yen Tsai,Sin-Ting Huang,Ying-Hsuan Kao,Sean Lin"
R.M.N.,2022,125,Drama,7.5,"A non-judgmental analysis of the driving forces of human behavior when confronted with the unknown, of the way we perceive the other and on how we relate to an unsettling future.",Cristian Mungiu,"Marin Grigore,Judith State,Macrina Barladeanu,Orsolya Moldován"
Who Invited Charlie?,2022,101,Comedy,8.8,"Follows a New York City family hiding out in the Hamptons whose bubble is popped when a Bloody Mary-swilling, pot-smoking 'Charlie' comes to bring a lifetime of hurt that might heal them all.",Xavier Manrique,"Jordana Brewster,Adam Pally,Reid Scott,Peter Grosz"
Irreverent,2022,46,"Comedy, Crime, Drama",6.9,A criminal from Chicago is forced to hide in a small Australian reef town posing as the new church Reverend.,"Colin Donnell,P.J. Byrne,Kylie Bracknell,Wayne Blair",
Of an Age,2022,99,Drama,7.6,"Set in the summer of 1999 as an 17-year-old Serbian born, Australian amateur ballroom dancer experiences an unexpected and intense 24-hour romance with a friend's older brother.",Goran Stolevski,"Thom Green,Elias Anton,Hattie Hook,Toby Derrick"
365 Days: This Day,2022,111,"Drama, Romance",2.6,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.,"Barbara Bialowas,Tomasz Mandes","Anna-Maria Sieklucka,Michele Morrone,Simone Susinna,Magdalena Lamparska"
Khakee: The Bihar Chapter,2022,45,"Action, Crime, Drama",8.2,"As a righteous cop pursues a merciless criminal in Bihar, he finds himself navigating a deadly chase and a moral battle mired in corruption.","Karan Tacker,Avinash Tiwary,Nikita Dutta,Jatin Sarna",
The Storied Life of A.J. Fikry,2022,105,"Comedy, Drama",6.5,"A.J. Fikry's wife has died, his bookstore is in trouble, and now his prized rare edition of Poe poems has been stolen. However, when a mysterious package appears, its arrival gives him the chance to start his life over and see things anew.",Hans Canosa,"Christina Hendricks,Lucy Hale,Kunal Nayyar,Scott Foley"
Tell Me Everything,2022,45,Drama,6.7,"Follows 16-year-old Jonny Murphy as he navigates through this world along with his friends, exploring the stresses of mental health for today's teens created by the omnipresence of technology and social media.","Carla Woodcock,Spike Fearn,Lauryn Ajufo,Eden H. Davies",
Island,2022,55,"Action, Adventure, Drama",7.1,"Won Mi Ho's arrogant and selfish attitude causes her father banishing her to Jeju island. Unbeknownst to her, the island is where evil roams free.","Nam-gil Kim,Lee Da-hee,Cha Eun-Woo,Du-shim Ko",
Beavis and Butt-Head,2022,11,"Animation, Comedy, Music",8.5,"The iconic animated duo are back and dumber than ever. The '90s pop-culture phenomenons return, voiced by creator Mike Judge, to confound common sense, torment each other, and showcase some of the dumbest comedy imaginable.","Mike Judge,Piotr Michael,Chris Diamantopoulos,Jayden Libran",
What Is a Woman?,2022,95,Documentary,8.4,"Political commentator Matt Walsh explores the changing concepts of sex and gender in the digital age, particularly the transgender rights movement, transphobia, and what it means to be a woman.",Justin Folk,"Matt Walsh,Gert Comfrey,Marci Bowers,Don Sucher"
The Last Manhunt,2022,103,Western,4.2,"Based on true events in the early 1900s Wild West, Willie Boy falls in love with Carlota from the Chemehuevi tribe despite being forbidden to be together. A fatal incident forces the young couple to flee the only place they know as home.",Christian Camargo,"Martin Sensmeier,Mainei Kinimaka,Zahn McClarnon,Lily Gladstone"
Paws of Fury: The Legend of Hank,2022,98,"Animation, Action, Comedy",5.7,"Hank, a loveable dog with a head full of dreams about becoming a samurai, sets off in search of his destiny.","Chris Bailey,Mark Koetsier,Rob Minkoff","Michael Cera,Samuel L. Jackson,Ricky Gervais,Kylie Kuioka"
Sembi,2022,140,Drama,7.8,"A bus named Anbu narrates the stories of its 24 passengers, giving a glimpse of their journey from Kodaikanal to Dindigul.",Prabu Solomon,"Kovai Sarala,Mullai Arasi,Gnanasambandam Gurunathan,Pala Karuppaiah"
The Chalk Line,2022,106,"Horror, Mystery, Thriller",6.1,A couple temporarily adopts a young girl that they found wandering around alone in the high road.,Ignacio Tatay,"Elena Anaya,Pablo Molinero,Eva Tennear,Eva Llorach"
Yali Çapkini,2022,120,"Drama, Romance",6.4,"Halis Aga, the pillar of one of Gaziantep's well-established families, decides to marry off his unruly grandson Ferit to bring him into line.","Afra Saraçoglu,Mert Ramazan Demir,Gülçin Santircioglu,Emre Altug",
Freddy,2022,124,"Drama, Mystery, Romance",7.6,The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,Shashanka Ghosh,"Kartik Aaryan,Alaya F,Karan Pandit,Sajjad Delafrooz"
Entergalactic,2022,93,"Animation, Comedy, Music",7.4,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life.",Fletcher Moules,"Kid Cudi,Jessica Williams,Laura Harrier,Ty Dolla $ign"
I Used to Be Famous,2022,104,"Comedy, Drama, Music",6.6,"Follows Vince, a desperate former popstar who dreams of making a comeback. An impromptu jam session with autistic young drummer Stevie sparks an unexpected friendship between the two misunderstood musicians.",Eddie Sternberg,"Ed Skrein,Eleanor Matsuura,Leo Long,Eoin Macken"
Wildcat,2022,106,Documentary,7.8,"Back from war in Afghanistan, a young British soldier struggling with depression and PTSD finds a second chance in the Amazon rainforest when he meets an American scientist, and together they foster an orphaned baby ocelot.","Trevor Frost,Melissa Lesh","Dante Cueva Altamirano,Cristian De La Cruz,Erick Scott Vargas Laura,Niery Tafur Olortegui"
God's Country,2022,102,Thriller,5.6,"When a college professor confronts two hunters she catches trespassing on her property, she's drawn into an escalating battle of wills with catastrophic consequences.",Julian Higgins,"Thandiwe Newton,Joris Jarsky,Jefferson White,Dan Gravage"
Find Her,2022,86,"Mystery, Thriller",4.7,"When an ex-cop arrives in a small town searching for answers to a murdered ranch owner and his missing daughter, it slowly becomes clear he has his own personal agenda to finding the truth.",Nick McCallum,"Nick McCallum,Stelio Savante,Anais Lilit,Richard Gunn"
The Munsters,2022,109,"Comedy, Family, Fantasy",4.5,"Reboot of ""The Munsters,"" that followed a family of monsters who moves from Transylvania to an American suburb.",Rob Zombie,"Sheri Moon Zombie,Jeff Daniel Phillips,Daniel Roebuck,Richard Brake"
Not Okay,2022,100,"Comedy, Drama",6.0,"An ambitious young woman finds followers and fame when she poses as the survivor of a deadly attack, but she soon learns that online notoriety comes with a terrible price.",Quinn Shephard,"Zoey Deutch,Mia Isaac,Dylan O'Brien,Nadia Alexander"
All American: Homecoming,2022,42,"Drama, Sport",6.2,Follows a young tennis hopeful from Beverly Hills and an elite baseball player from Chicago as they contend with the high stakes of college sports.,"GeffriMaya,Peyton 'Alex' Smith,Kelly Jenrette,Cory Hardrict",
Dark Winds,2022,49,"Crime, Drama, Thriller",7.6,"Follows Leaphorn and Chee, two Navajo police officers in the 1970s Southwest that are forced to challenge their own spiritual beliefs when they search for clues in a double murder case.","Zahn McClarnon,Kiowa Gordon,Jessica Matten,Elva Guerra",
Mystery Road: Origin,2022,55,"Crime, Drama, Mystery",7.7,"Follows Jay Swan, a young officer who arrives at his new station in the town where his estranged father lives, as does the woman who will change his life forever, Mary.","Mark Coles Smith,Tuuli Narkle,Daniel Henshall,Toby Leonard Moore",
The Undeclared War,2022,47,"Drama, Sci-Fi, Thriller",6.9,"In 2024, a leading team of analysts buried in the heart of GCHQ secretly works to ward off a foreign cyber-attack on the country's electoral system.","Hannah Khalique-Brown,Simon Pegg,Maisie Richardson-Sellers,Edward Holcroft",
Texas Chainsaw Massacre,2022,81,"Crime, Horror, Thriller",4.7,"After 48 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town.",David Blue Garcia,"Sarah Yarkin,Elsie Fisher,Mark Burnham,Jacob Latimore"
Evil Eye,2022,100,Horror,5.8,"Nala, a 13-year-old girl from the city, travels with her family to her grandmother's home in the countryside, to try to find a cure for her little sister's mysterious illness - But she'll soon find her granny is not exactly what she seems.",Isaac Ezban,"Ofelia Medina,Paola Miguel,Samantha Castillo,Arap Bethke"
All the Old Knives,2022,101,"Mystery, Thriller",6.1,Veteran CIA agent Henry is reunited in Vienna with his former colleague and former Celia.,Janus Metz,"Goksin Erdemli,Kasia Madera,Chris Pine,Thandiwe Newton"
Ridley,2022,115,"Crime, Drama, Mystery",6.5,"Retired Detective Alex Ridley is lured back into service as a consultant detective when his former protégée, Carol Farman, needs help cracking a complex murder case.","Adrian Dunbar,Bronagh Waugh,George Bukhari,Georgie Glen",
Meet Cute,2022,89,"Comedy, Drama, Fantasy",5.7,"What would you do if you could travel to your loved ones' past, heal their traumas, fix their problems, and change them into the perfect partner?",Alex Lehmann,"Kaley Cuoco,Pete Davidson,Kevin Corrigan,Deborah S. Craig"
I Want You Back,2022,116,"Comedy, Romance",6.6,Newly-dumped thirtysomethings Peter and Emma team up to sabotage their exes' new relationships and win them back for good.,Jason Orley,"Charlie Day,Jenny Slate,Scott Eastwood,Gina Rodriguez"
The Backrooms,2022,6,"Horror, Mystery, Sci-Fi",8.6,A mystery series revolving around a plot to get inside a mysterious alternate dimension known as The Backrooms.,"Kane Parsons,Akash,Henry,Jack Williams Lee",
The Essex Serpent,2022,288,"Drama, Fantasy, Mystery",6.3,"Follows London widow Cora Seaborne who moves to Essex to investigate reports of a mythical serpent. She forms a bond of science and skepticism with the pastor, but when tragedy strikes, locals accuse her of attracting the creature.","Claire Danes,Tom Hiddleston,Frank Dillane,Clémence Poésy",
Honor Society,2022,98,"Comedy, Romance",6.5,"Honor's sole focus is getting into Harvard. Willing to do whatever it takes, Honor concocts a plan to take down her top three competitors, until things take a turn when she unexpectedly falls for her biggest competition.",Oran Zegman,"Angourie Rice,Gaten Matarazzo,Christopher Mintz-Plasse,Armani Jackson"
Athena,2022,99,"Action, Drama, Thriller",6.8,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.",Romain Gavras,"Dali Benssalah,Sami Slimane,Anthony Bajon,Ouassini Embarek"
Kimi,2022,89,"Crime, Drama, Thriller",6.3,An agoraphobic Seattle tech worker uncovers evidence of a crime.,Steven Soderbergh,"Zoë Kravitz,Byron Bowers,Rita Wilson,Erika Christensen"
Qala,2022,119,"Drama, Music",7.2,"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",Anvita Dutt,"Triptii Dimri,Babil Khan,Swastika Mukherjee,Amit Sial"
The Interest of Love,2022,73,"Drama, Romance",6.8,Four men and women working at the same bank get entangled in a complicated romance as they discover how far they're willing to go for love.,"Yoo Yeon-Seok,Moon Ga-young,Ga-ram Jung,Seo Jung-yeon",
I'm Totally Fine,2022,83,"Comedy, Drama, Sci-Fi",5.7,"Vanessa, a woman in mourning, takes a solo trip to clear her head after the death of her friend, but her self-care vacation plans change when she's met with an out-of-this-world situation.",Brandon Dermer,"Blake Anderson,Jillian Bell,Seth Farley,Cyrina Fiallo"
Suspicion,2022,46,"Crime, Drama, Thriller",6.2,"Five ordinary Brits are accused of kidnapping the son of a prominent U.S. media mogul. They embark on a desperate race against time to prove their innocence, but will anyone believe them - and are they telling the truth?","Kunal Nayyar,Georgina Campbell,Elizabeth Henstridge,Angel Coulby",
Sisu,2022,91,"Action, War",7.6,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him.",Jalmari Helander,"Jorma Tommila,Aksel Hennie,Jack Doolan,Mimosa Willamo"
Gone in the Night,2022,90,"Mystery, Thriller",4.9,"When Kath and her boyfriend arrive at a remote cabin in the redwoods, they find a mysterious younger couple already there. Her boyfriend disappears with the young woman, and Kath becomes obsessed with finding an explanation.",Eli Horowitz,"Winona Ryder,Dermot Mulroney,John Gallagher Jr.,Owen Teague"
Uncoupled,2022,30,"Comedy, Drama, Romance",7.0,"Michael's life seemed to be perfect, until his long time partner blindsided him after 17 years of being in long time relationship. He has to confront the nightmares of losing his soulmate and suddenly finding himself as a single gay man in his mid-40s.","Neil Patrick Harris,Tisha Campbell,Brooks Ashmanskas,Emerson Brooks",
Colin from Accounts,2022,27,Comedy,8.3,"Ashley and Gordon, two single-ish, complex humans who are brought together by a car accident and an injured dog. Flawed, funny people choosing each other and being brave enough to show their true selves and navigate life together.","Patrick Brammall,Harriet Dyer,Zak,Emma Harvie",
Super Pumped,2022,60,"Biography, Drama",7.3,"The roller-coaster ride of the upstart transportation company, embodying the highs and lows of Silicon Valley.","Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,Babak Tafti",
Sister Boniface Mysteries,2022,45,"Comedy, Crime, Drama",7.0,"The investigations of Sister Boniface of St Vincent's Convent - nun, moped rider, wine maker and part-time forensic scientist.","Lorna Watson,Max Brown,Miranda Raison,Jerry Iwu",
Mysterious Circumstance: The Death of Meriwether Lewis,2022,115,"Mystery, Western",4.6,Versions of Meriwether Lewis's 1809 death at a remote wilderness inn are imagined by his friend Alexander Wilson during a tense encounter with the only witness to the famed explorer's final night alive.,Clark Richey,"John Schneider,Evan Williams,Sonny Marinelli,Amye Gousset"
Tales of the Walking Dead,2022,44,"Drama, Fantasy, Horror",5.9,"An episodic anthology that will follow individual characters from the The Walking Dead TV universe, both new and old.","Daniella Pineda,Samantha Morton,Parker Posey,Anthony Edwards",
Hotel Transylvania 4: Transformania,2022,87,"Animation, Adventure, Comedy",6.0,"After one experiment, Johnny turns into a monster and everyone else becomes human. Now it has to be seen whether they will be able to reverse this experiment.","Derek Drymon,Jennifer Kluska","Andy Samberg,Selena Gomez,Kathryn Hahn,Jim Gaffigan"
One Way,2022,95,"Action, Thriller",3.9,"Freddy, a petty criminal, is on the run with a bag full of cash and coke. He's way over his head and hurt bad. With a bullet in his guts he's running out of time.",Andrew Baird,"Travis Fimmel,Kevin Bacon,Drea de Matteo,Storm Reid"
Vikram Vedha,2022,160,"Action, Crime, Drama",7.1,A tough police officer sets out to track down and kill an equally tough gangsters.,"Gayatri,Pushkar","Saif Ali Khan,Hrithik Roshan,Radhika Apte,Rohit Saraf"
The Flatshare,2022,45,"Comedy, Drama, Romance",7.3,"A unique situation where to save money, two strangers share a flat on a schedule where they never meet each other. They communicate via post it note while they navigate their unusual agreement, their relationships, and lives.","Jessica Brown Findlay,Anthony Welsh,Bart Edwards,Jonah Hauer-King",
The First Lady,2022,60,"Biography, Drama, History",7.1,"In the East Wing of the White House, many of history's most impactful and world-changing decisions have been hidden from view, made by America's charismatic, complex and dynamic first ladies.","Viola Davis,Michelle Pfeiffer,Gillian Anderson,O-T Fagbenle",
The Witch: Part 2 - The Other One,2022,137,"Action, Mystery, Thriller",6.2,"A girl wakes up in a secret laboratory and meets Kyung-hee, who is trying to protect her from a gang. When the gang finally finds the girl, they are overwhelmed by an unexpected power.",Park Hoon-jung,"Cynthia,Min-soo Jo,Kim Da-mi,Park Eun-bin"
Summer Time Rendering,2022,25,"Animation, Drama, Fantasy",8.3,"Upon hearing of Ushio's death, Shinpei returns to his hometown of Wakayama City on Hitogashima and reunites with his childhood friend's family. The funeral goes smoothly, but under the ...","Natsuki Hanae,Stephen Fu,Merk Nguyen,Anna Nagase",
House of Darkness,2022,88,"Comedy, Horror, Mystery",4.7,"Hap offers Mina a ride home with ulterior motives, but his night takes a turn when he learns she lives in a creepy American castle...and the shadowy figures in the corridors make it clear that he isn't welcome.",Neil LaBute,"Kate Bosworth,Justin Long,Gia Crovatin,Lucy Walters"
In from the Side,2022,134,"Drama, Sport",6.8,"Following a drunken encounter, two equally attached men from a cash strapped and divided gay rugby club unwittingly sleepwalk into an adulterous affair but must conceal their growing feelings or risk destroying the club they love.",Matt Carter,"Alexander Lincoln,Alexander King,William Hearle,Alex Hammond"
The Magic Flute,2022,124,"Adventure, Fantasy, Musical",6.2,"17-year-old Tim Walker as he travels from London to the Austrian Alps to attend the legendary Mozart boarding school. There, he discovers a centuries-old forgotten passageway into the fantastic world of Mozart's ""The Magic Flute.""",Florian Sigl,"F. Murray Abraham,Iwan Rheon,Jeanne Goursaud,Amir Wilson"
Cha Cha Real Smooth,2022,107,"Comedy, Drama",7.3,A young man who works as a Bar Mitzvah party host strikes up a friendship with a mother and her autistic daughter.,Cooper Raiff,"Cooper Raiff,Dakota Johnson,Evan Assante,Vanessa Burghardt"
Irma Vep,2022,98,"Comedy, Drama",6.8,"Mira is an American movie star disillusioned by her career and recent breakup, who comes to France to star as Irma Vep in a remake of the French silent film classic, ""Les Vampires.""","Alicia Vikander,Vincent Macaigne,Nora Hamzawi,Antoine Reinartz",
No Exit,2022,95,"Drama, Mystery, Thriller",6.1,"During a blizzard and stranded at an isolated highway rest stop in the mountains, a college student discovers a kidnapped child hidden in a car belonging to one of the people inside.",Damien Power,"Havana Rose Liu,Danny Ramirez,David Rysdahl,Mila Harris"
A Christmas Story Christmas,2022,98,"Comedy, Family",6.7,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.",Clay Kaytis,"Peter Billingsley,Erinn Hayes,River Drosche,Julianna Layne"
Mukundan Unni Associates,2022,128,"Comedy, Crime, Drama",8.0,"Advocate Mukundan Unni, played by Vineeth Sreenivasan wants to be successful and leaves no stone unturned to achieve growth, prosperity, and respect. But this steadfast nature aided with an ample dose of greed comes with a cost.",Abhinav Sunder Nayak,"Vineeth Sreenivasan,Suraj Venjaramoodu,Arsha Baiju,Sudhi Koppa"
This Is Going to Hurt,2022,45,"Comedy, Drama",8.4,"Set on Labor Ward with all its hilarity and heart-lifting highs but also its gut-wrenching lows, the show delivers a brutally honest depiction of life as a junior doctor on the wards, and the toll the job can take back home.","Ben Whishaw,Ambika Mod,Rory Fleck Byrne,Michele Austin",
Talk to Me,2022,94,"Horror, Thriller",8.4,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","Danny Philippou,Michael Philippou","Sophie Wilde,Joe Bird,Alexandra Jensen,Otis Dhanji"
The Really Loud House,2022,22,"Comedy, Family",5.9,"The half-hour series follows 12-year-old Lincoln Loud as he goes on new adventures in the town of Royal Woods with his best friend Clyde McBride, while also navigating the chaos of living in a family with 10 sisters.","Wolfgang Schaeffer,Jahzir Bruno,Aubin Bradley,Annaka Fourneret",
Heartbreak High,2022,50,"Drama, Romance",7.7,"A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak.","Ayesha Madon,James Majoos,Chloe Hayden,Asher Yasbincek",
Minx,2022,30,Comedy,7.6,"In 1970s Los Angeles, an earnest young feminist joins forces with a low-rent publisher to create the first erotic magazine for women.","Ophelia Lovibond,Michael Angarano,Jessica Lowe,Oscar Montoya",
Blockbuster,2022,30,Comedy,5.1,"This comedy set in the last Blockbuster Video in America explores what, and who, makes a small business succeed.","Randall Park,Melissa Fumero,Olga Merediz,Tyler Alvarez",
The Inspection,2022,95,Drama,7.2,"A young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside.",Elegance Bratton,"Jeremy Pope,Gabrielle Union,Bokeem Woodbine,Raúl Castillo"
Unwelcome,2022,104,Horror,5.1,"Married couple Maya and Jamie escape their urban nightmare to the tranquility of rural Ireland only to discover malevolent and murderous goblins lurking in the gnarled, ancient wood at the foot of their new garden.",Jon Wright,"Hannah John-Kamen,Douglas Booth,Colm Meaney,Kristian Nairn"
Mirciulica,2022,90,Comedy,6.2,"Mircea, a 30-year-old man from a small Transylvanian town fails the judicial admission exam in Bucharest. He has no choice but to return home and live with his parents. He is forced to get ...",Cristian Ilisuan,"Mircea Popa,Adrian Cucu,Catalin Herlo,Radu Largeanu"
No Limit,2022,118,"Drama, Romance, Sport",5.8,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.,David M. Rosenthal,"Camille Rowe,Sofiane Zermani,César Domboy,Laurent Fernandez"
Lamborghini: The Man Behind the Legend,2022,97,"Biography, Drama, Sport",5.3,"The life story of Ferruccio Lamborghini, the founder of Lamborghini.",Bobby Moresco,"Frank Grillo,Mira Sorvino,Gabriel Byrne,Eliana Jones"
The Walk-In,2022,65,Drama,7.3,Follows a Neo-Nazi who plans to kill an MP and how his plan was foiled by an inside man.,"Andrew Ellis,Stephen Graham,Leanne Best,Dean-Charles Chapman",
Batman and Superman: Battle of the Super Sons,2022,79,"Animation, Action, Sci-Fi",6.7,Jonathan Kent and reluctant young sidekick Damian Wayne are burdened with saving the world from impending doom. The two must join forces to rescue their fathers and save the planet by becoming the super heroes they were intended to be.,Matt Peters,"Jack Dylan Grazer,Jack Griffo,Laura Bailey,Troy Baker"
Nuestro bebé elefante,2022,41,"Documentary, Short",7.3,"Bomman and Bellie, a couple in South India, devote their lives to caring for an orphaned baby elephant named Raghu, forging a family like no other that tests the barrier between the human and the animal world.",Kartiki Gonsalves,
The Best Man: The Final Chapters,2022,30,"Comedy, Drama",8.2,As relationships evolve and past grievances resurface in the unpredictable stages of midlife crisis meets midlife renaissance.,"Morris Chestnut,Melissa De Sousa,Regina Hall,Terrence Howard",
Taurus,2022,98,"Biography, Drama, Music",4.8,Follows the last days of a rising but problematic musician.,Tim Sutton,"Megan Fox,Ruby Rose,Scoot McNairy,Colson Baker"
Cat,2022,45,"Crime, Drama, Thriller",8.4,"A former police informant is forced to become an informant again to save the life of his brother, which forces him to come to terms with his dark past.","Randeep Hooda,Abhishant Rana,Suvinder Vicky,Pramod Pathak",
In the Heart of the Machine,2022,115,"Drama, Thriller",7.5,"Humanity hides in the deepest, darkest places.",Martin Makariev,"Alexander Sano,Julian Vergov,Igor Angelov,Hristo Petkov"
Five Days at Memorial,2022,376,"Biography, Drama",7.7,Doctors and nurses at the intensive care unit of a New Orleans hospital struggle with treating patients during Hurricane Katrina when the facility is without power for 5 days.,"Vera Farmiga,Cherry Jones,Cornelius Smith Jr.,Robert Pine",
Partner Track,2022,60,Drama,6.7,"Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.","Arden Cho,Alexandra Turshen,Bradley Gibson,Dominic Sherwood",
Conversations with Friends,2022,335,"Drama, Romance",6.7,"Two Dublin college students, Frances and Bobbi, and the strange and unexpected connection they forge with married couple, Melissa and Nick.","Alison Oliver,Sasha Lane,Joe Alwyn,Jemima Kirke",
The Responder,2022,57,"Crime, Drama, Thriller",7.4,"A crisis-stricken, morally-compromised first-responder tackles a series of night shifts on the beat in Liverpool while trying to keep his head above water personally and professionally.","Martin Freeman,Romi Hyland-Rylands,MyAnna Buring,Adelayo Adedayo",
